iter	Passed	Remaining
0	1	147
1	2	139
2	3	123
3	4	108
4	5	105
5	6	105
6	8	107
7	10	121
8	12	129
9	13	125
10	15	121
11	16	118
12	17	115
13	18	112
14	19	108
15	20	105
16	21	103
17	22	103
18	25	106
19	27	109
20	28	107
21	29	105
22	30	103
23	32	101
24	33	99
25	34	97
26	35	94
27	36	93
28	38	93
29	40	95
30	42	93
31	43	91
32	44	89
33	45	87
34	46	86
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	55	79
41	55	77
42	57	75
43	58	74
44	59	72
45	60	71
46	62	69
47	63	68
48	64	66
49	68	68
50	71	68
51	72	67
52	73	65
53	74	63
54	75	61
55	76	60
56	78	58
57	80	58
58	82	57
59	85	56
60	86	55
61	88	54
62	89	52
63	91	51
64	92	49
65	98	50
66	99	49
67	100	47
68	101	45
69	102	44
70	103	42
71	104	40
72	106	39
73	106	37
74	108	36
75	109	34
76	111	33
77	115	32
78	116	31
79	118	29
80	119	27
81	120	26
82	121	24
83	122	23
84	124	21
85	125	20
86	128	19
87	129	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	146	7
95	147	6
96	148	4
97	149	3
98	150	1
99	152	0
